Fiscal year,Profit Centre,Product Group Name,General Ledger code,General Ledger Name/Income Type,Country,Country Name,Invoice Currency,Amount Invoice Currency ,GBP Equivalent,Quantity,Region,Aa Country,Profit Center &Product,Profit Center &Income type,Invoiced/Quantity
2020,C003,A and AS LEVEL,102000,Subject Fees,DZ,Algeria,GBP,"1,058",1058,12,Middle East & North Africa,DZ Algeria,C003-A and AS LEVEL,C003-Subject Fees,88
2020,C003,A and AS LEVEL,102000,Subject Fees,EG,Egypt,GBP,"559,344",559344,6862,Middle East & North Africa,EG Egypt,C003-A and AS LEVEL,C003-Subject Fees,82
2020,C003,A and AS LEVEL,102000,Subject Fees,ES,Spain,EUR,"506,876",425399,4719,Europe,ES Spain,C003-A and AS LEVEL,C003-Subject Fees,107
2020,C003,A and AS LEVEL,102000,Subject Fees,ET,Ethiopia,GBP,"8,157",8157,169,Sub-Saharan Africa,ET Ethiopia,C003-A and AS LEVEL,C003-Subject Fees,48
2020,C003,A and AS LEVEL,102000,Subject Fees,FI,Finland,EUR,"1,710",1546,17,Europe,FI Finland,C003-A and AS LEVEL,C003-Subject Fees,101
2020,C003,A and AS LEVEL,102000,Subject Fees,FR,France,EUR,"33,716",28311,314,Europe,FR France,C003-A and AS LEVEL,C003-Subject Fees,107
2020,C003,A and AS LEVEL,102000,Subject Fees,GB,United Kingdom,GBP,"528,393",528393,6126,Europe,GB United Kingdom,C003-A and AS LEVEL,C003-Subject Fees,86
2020,C003,A and AS LEVEL,102000,Subject Fees,GD,Grenada,GBP,302,302,3,Latin America,GD Grenada,C003-A and AS LEVEL,C003-Subject Fees,101
2020,C003,A and AS LEVEL,102000,Subject Fees,GE,Georgia,GBP,"1,248",1248,18,Europe,GE Georgia,C003-A and AS LEVEL,C003-Subject Fees,69
2020,C003,A and AS LEVEL,102000,Subject Fees,GH,Ghana,GBP,"96,543",96543,1568,Sub-Saharan Africa,GH Ghana,C003-A and AS LEVEL,C003-Subject Fees,62
2020,C003,A and AS LEVEL,102000,Subject Fees,GI,Gibraltar,GBP,"6,753",6753,93,Europe,GI Gibraltar,C003-A and AS LEVEL,C003-Subject Fees,73
2020,C003,A and AS LEVEL,102000,Subject Fees,GM,Gambia,GBP,"8,844",8844,192,Sub-Saharan Africa,GM Gambia,C003-A and AS LEVEL,C003-Subject Fees,46
2020,C003,A and AS LEVEL,102000,Subject Fees,GR,Greece,EUR,"11,618",9765,108,Europe,GR Greece,C003-A and AS LEVEL,C003-Subject Fees,108
2020,C003,A and AS LEVEL,102000,Subject Fees,GY,Guyana,GBP,"32,975",32975,412,Latin America,GY Guyana,C003-A and AS LEVEL,C003-Subject Fees,80
2020,C003,A and AS LEVEL,102000,Subject Fees,HK,Hong Kong,GBP,"80,358",80358,1191,East Asia,HK Hong Kong,C003-A and AS LEVEL,C003-Subject Fees,68
2020,C003,A and AS LEVEL,102000,Subject Fees,HK,Hong Kong,USD,"20,481",16657,124,East Asia,HK Hong Kong,C003-A and AS LEVEL,C003-Subject Fees,165
2020,C003,A and AS LEVEL,102000,Subject Fees,HR,Croatia,GBP,"1,371",1371,18,Europe,HR Croatia,C003-A and AS LEVEL,C003-Subject Fees,76
2020,C003,A and AS LEVEL,102000,Subject Fees,HU,Hungary,GBP,"3,403",3403,39,Europe,HU Hungary,C003-A and AS LEVEL,C003-Subject Fees,87
2020,C003,A and AS LEVEL,102000,Subject Fees,ID,Indonesia,GBP,"493,977",493977,7346,Southeast Asia & Pacific,ID Indonesia,C003-A and AS LEVEL,C003-Subject Fees,67
2020,C003,A and AS LEVEL,102000,Subject Fees,IE,Ireland,EUR,722,613,10,Europe,IE Ireland,C003-A and AS LEVEL,C003-Subject Fees,72
